20,1727,0.402754,0.502734,1,10,0.257650,0.270648,0.208388,0.263314
30,2769,0.189367,0.499524,1,14,0.256873,0.276081,0.199016,0.268030
40,3760,0.059589,0.505029,1,19,0.261117,0.281960,0.183200,0.273723
60,5714,0.025603,0.507703,1,26,0.264174,0.285047,0.172369,0.278411
80,7858,0.048317,0.532617,1,37,0.266971,0.289678,0.159324,0.284027
100,9864,0.000028,0.517798,1,45,0.268109,0.291678,0.153045,0.287167
110,10969,0.000000,0.519556,1,47,0.268266,0.291966,0.152074,0.287694
120,12084,0.000000,0.530664,1,53,0.268908,0.291321,0.150787,0.288985
130,13017,0.000257,0.532764,1,59,0.269016,0.291614,0.149746,0.289624
150,15082,0.000735,0.570996,1,71,0.269236,0.291417,0.148814,0.290533
160,16133,0.000792,0.581787,1,54,0.269143,0.291994,0.148343,0.290520
170,17333,0.000057,0.637891,1,60,0.269057,0.292365,0.148010,0.290568
190,19442,0.000000,0.648926,1,69,0.268920,0.292752,0.147606,0.290722
200,20347,0.001584,0.654541,1,75,0.268887,0.292800,0.147539,0.290775
220,22637,0.000000,0.721436,1,63,0.269267,0.292017,0.147573,0.291143
230,23718,0.000000,0.744629,1,72,0.269116,0.292353,0.147468,0.291063
240,24815,0.000000,0.730615,1,81,0.268936,0.292629,0.147352,0.291084
250,25912,0.000000,0.783887,1,89,0.268886,0.292681,0.147322,0.291111
260,26999,0.000000,0.812305,1,67,0.269091,0.292258,0.147401,0.291251
270,28221,0.000000,0.866260,1,75,0.268939,0.292594,0.147322,0.291146
280,29422,0.000000,0.864746,1,83,0.268857,0.292713,0.147281,0.291149
290,30376,0.000000,0.771387,1,89,0.268789,0.292781,0.147247,0.291183
300,31599,0.000000,0.822656,1,95,0.268880,0.292444,0.147285,0.291391
310,32557,0.000000,0.877295,1,77,0.268831,0.292625,0.147262,0.291283
320,33707,0.000000,0.867822,1,83,0.268781,0.292732,0.147238,0.291248
330,34662,0.000000,0.899463,1,93,0.268755,0.292764,0.147226,0.291254
340,35773,0.000000,0.814893,1,98,0.268705,0.292802,0.147204,0.291289
350,36728,0.000000,0.887793,1,107,0.268664,0.292819,0.147185,0.291332
360,37679,0.000000,0.838623,1,78,0.268679,0.292880,0.147191,0.291251
370,38724,0.000000,0.884570,1,86,0.268675,0.292905,0.147189,0.291231
380,39696,0.000000,0.816504,1,91,0.268703,0.292794,0.147202,0.291301
390,40784,0.000000,0.676611,1,93,0.268706,0.292766,0.147203,0.291324
400,41984,0.000000,0.794385,1,98,0.268659,0.292817,0.147182,0.291342
410,43057,0.000000,0.777100,1,69,0.268683,0.292858,0.147193,0.291267
420,43903,0.000000,0.766260,1,75,0.268699,0.292913,0.147200,0.291188
430,45065,0.000000,0.738184,1,78,0.268700,0.292933,0.147200,0.291168
440,46229,0.000000,0.826123,1,82,0.268691,0.292944,0.147196,0.291169
450,47323,0.000057,0.815381,1,86,0.268680,0.292944,0.147191,0.291184
460,48420,0.000000,0.853809,1,53,0.268766,0.293050,0.147229,0.290956
470,49512,0.000000,0.829980,1,59,0.268803,0.293098,0.147246,0.290853
480,50773,0.000000,0.840430,1,65,0.268803,0.293103,0.147246,0.290849
490,52011,0.000000,0.725586,1,70,0.268794,0.293092,0.147242,0.290872
500,53032,0.000000,0.810840,1,76,0.268769,0.293068,0.147231,0.290932
510,54016,0.000000,0.816406,1,52,0.268834,0.293143,0.147260,0.290763
520,55009,0.000000,0.806934,1,59,0.268927,0.292940,0.147301,0.290833
530,55851,0.000000,0.852490,1,67,0.268904,0.292968,0.147291,0.290837
540,56949,0.027620,0.824463,1,72,0.268857,0.292996,0.147270,0.290877
550,58047,0.000000,0.810645,1,78,0.268824,0.292969,0.147255,0.290951
560,59120,0.000000,0.843652,1,65,0.268905,0.292832,0.147291,0.290971
570,60140,0.000000,0.834912,1,72,0.268861,0.292898,0.147272,0.290969
